GW_filename,detected,GRB_filename,KN_coords
6408,True,GBM_bns_6408,"(5.6463448, -1.1271135)"
6438,True,GBM_bns_6438,"(4.4005771, -1.0472981)"
6499,False,,
6505,False,,
6521,False,,
6544,False,,
6546,False,,
6582,False,,
6588,False,,
6601,False,,
6606,False,,
6612,False,,
6633,False,,
6703,False,,
6730,False,,
6752,False,,
6792,False,,
6804,False,,
6827,False,,
6830,False,,
6879,False,,
6888,False,,
6896,False,,
6928,False,,
6930,False,,
6940,False,,
6943,False,,
6955,False,,
6965,False,,
7008,False,,
7021,False,,
7058,True,GBM_bns_7058,"(5.2567713, -0.45912097)"
7070,False,,
7076,False,,
7078,False,,
7083,False,,
7097,False,,
7103,False,,
7124,False,,
7132,False,,
7139,False,,
7141,False,,
7154,False,,
7162,True,GBM_bns_7162,"(2.3835792, 0.30543517)"
7184,False,,
7188,False,,
7203,False,,
7220,False,,
7229,False,,
7232,False,,
7251,False,,
7271,False,,
7272,False,,
7293,False,,
7299,False,,
7301,False,,
7306,False,,
7316,False,,
7323,False,,
7346,False,,
7362,False,,
7373,False,,
7375,False,,
7454,False,,
7476,False,,
7528,False,,
7546,False,,
7562,False,,
7624,False,,
7640,True,GBM_bns_7640,"(4.9416082, -0.55232482)"
7661,False,,
7667,False,,
7673,False,,
7717,False,,
7730,False,,
7735,False,,
7743,False,,
7775,False,,
7789,True,GBM_bns_7789,"(3.3698476, 1.0586698)"
7813,False,,
7839,False,,
7844,False,,
7849,False,,
7889,False,,
7906,False,,
7908,False,,
7973,False,,
7992,False,,
8000,False,,
8003,False,,
8015,False,,
8030,False,,
8034,False,,
8037,False,,
8043,False,,
8052,False,,
8060,False,,
8110,False,,
8122,False,,
8154,False,,
8164,False,,
8183,False,,
8209,False,,
8254,False,,
8260,False,,
8274,False,,
8290,False,,
8293,False,,
8313,False,,
8343,False,,
8353,True,GBM_bns_8353,"(4.3491129, -0.6288191)"
8354,False,,
8359,True,GBM_bns_8359,"(5.0215563, 0.26729881)"
8391,False,,
8415,False,,
8444,False,,
8450,False,,
8501,False,,
8502,False,,
8510,False,,
8552,False,,
8560,True,GBM_bns_8560,"(0.12977713, -0.65703973)"
8573,False,,
8577,False,,
8590,False,,
8598,False,,
8599,False,,
8612,False,,
8637,False,,
8694,False,,
8710,False,,
8715,False,,
8721,False,,
8757,True,GBM_bns_8757,"(1.0207582, 1.1069911)"
8761,False,,
8763,False,,
8794,False,,
8816,False,,
8818,False,,
8853,False,,
8875,False,,
8884,False,,
8893,True,GBM_bns_8893,"(0.26516996, -0.87939542)"
8906,False,,
8910,False,,
8912,False,,
8913,False,,
8925,False,,
8945,False,,
8957,False,,
8998,False,,
9034,False,,
9054,False,,
9074,True,GBM_bns_9074,"(2.0901753, -0.30217392)"
9078,False,,
9112,False,,
9151,False,,
9162,False,,
9166,False,,
9171,False,,
9176,False,,
9180,False,,
9255,False,,
9304,False,,
9305,False,,
9319,False,,
9355,False,,
9367,False,,
9374,False,,
9375,False,,
9384,False,,
9395,False,,
9410,False,,
9411,False,,
9424,False,,
9444,False,,
9468,False,,
9490,False,,
9498,False,,
9536,False,,
9561,False,,
9567,True,GBM_bns_9567,"(6.16462, 0.78279951)"
9581,False,,
9598,False,,
9605,False,,
9618,False,,
9627,False,,
9644,False,,
9645,False,,
9663,False,,
9670,False,,
9672,False,,
9694,False,,
9697,False,,
9699,False,,
9705,False,,
9707,False,,
9770,False,,
9779,False,,
9805,False,,
9811,False,,
9826,False,,
9850,False,,
9865,False,,
9871,False,,
9907,False,,
9908,False,,
9911,False,,
9930,False,,
9955,False,,
9959,False,,
9964,False,,
9970,False,,
9990,False,,
10025,False,,
10049,False,,
10077,False,,
10137,True,GBM_bns_10137,"(0.99301875, 0.24167924)"
10147,False,,
10158,False,,
10170,False,,
10242,False,,
